task_id,office_type,task_type,model,seed,assembly,Q_single,Q_single_matched,Q_team,CTR_naive,CTR_matched,TR,call_ratio,team_token_overhead
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,2,concat,0.5833,0.5833,0.5833,1.0,1.0,1.4886,4.0,6407
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,0,integrator,0.5833,0.5833,1.0,1.7144,1.7144,2.2694,5.0,14405
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,1,integrator,0.5833,0.5833,1.0,1.7144,1.7144,0.9292,5.0,-1693
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,2,integrator,0.5833,0.5833,1.0,1.7144,1.7144,2.0076,5.0,13212
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,0,last,0.5833,0.5833,0.5833,1.0,1.0,1.2522,4.0,2862
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,1,last,0.5833,0.5833,0.5833,1.0,1.0,0.496,4.0,-12046
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,2,last,0.5833,0.5833,0.5833,1.0,1.0,1.3404,4.0,4463
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,0,blackboard,0.5833,0.5833,0.5833,1.0,1.0,0.5402,3.0,-3313
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,1,blackboard,0.5833,0.5833,0.5833,1.0,1.0,0.8898,3.0,-455
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,2,blackboard,0.375,0.5833,0.5833,1.5555,1.0,1.4584,3.0,1333
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,0,concat,0.5833,0.5833,0.5833,1.0,1.0,0.538,3.0,-3329
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,1,concat,0.5833,0.5833,0.375,0.6429,0.6429,0.9205,3.0,-328
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,2,concat,0.375,0.5833,0.5833,1.5555,1.0,1.3979,3.0,1157
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,0,integrator,0.5833,0.5833,1.0,1.7144,1.7144,1.0652,4.0,470
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,1,integrator,0.5833,0.5833,1.0,1.7144,1.7144,2.2984,4.0,5360
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,2,integrator,0.375,0.5833,1.0,2.6667,1.7144,1.8312,4.0,2417
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,0,last,0.5833,0.5833,0.375,0.6429,0.6429,0.5027,3.0,-3583
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,1,last,0.5833,0.5833,0.5833,1.0,1.0,0.8949,3.0,-434
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,2,last,0.375,0.5833,0.5833,1.5555,1.0,1.3098,3.0,901
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,0,blackboard,1.0,1.0,0.7917,0.7917,0.7917,1.8828,3.0,2998
